city_or_municipality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,total
"INOPACAN, (LEYTE)", 3 , 2 , 2 , 4 , 5 , 1 , 3 , 2 , 8 , 11 , 6 , 47 
"ISABEL, (LEYTE)", 7 , 15 , - , 4 , 7 , 5 , 8 , 6 , 13 , 14 , 6 , 85 
"JARO, (LEYTE)", 1 , 3 , - , 9 , 1 , 4 , 2 , 3 , 5 , 2 , 2 , 32 
"JAVIER (BUGHO), (LEYTE)", 3 , 1 , 1 , 2 , 1 , 4 , 2 , 4 , 6 , 3 , 5 , 32 
"JULITA, (LEYTE)", - , - , - , 1 , - , - , 2 , 3 , 3 , - , 2 , 11 
"KANANGA, (LEYTE)", 15 , 14 , - , 10 , 5 , 5 , 6 , 13 , 11 , 9 , 6 , 94 
"LAPAZ, (LEYTE)", 1 , 1 , 1 , 1 , 1 , - , 3 , 3 , 4 , 2 , 2 , 19 
"LEYTE, (LEYTE)", 2 , 4 , 1 , 4 , 2 , 1 , 4 , 5 , 6 , 3 , 8 , 40 
"MACARTHUR, (LEYTE)", 2 , 3 , 1 , 5 , 2 , 5 , 6 , 10 , 10 , 2 , 8 , 54 
"MAHAPLAG, (LEYTE)", 3 , 3 , - , 3 , 8 , 5 , 10 , 4 , 3 , 6 , 9 , 54 
"MATAG-OB, (LEYTE)", 1 , 2 , - , 4 , 5 , 4 , 4 , 3 , 1 , 6 , -   , 30 
"MATALOM, (LEYTE)", 3 , 5 , - , 2 , 4 , 5 , 2 , 8 , 2 , 2 , 4 , 37 
"MAYORGA, (LEYTE)", 2 , 4 , - , 1 , - , 2 , 3 , 2 , 1 , - , 2 , 17 
"MERIDA, (LEYTE)", 4 , 9 , - , 8 , 4 , 5 , 4 , 3 , 4 , 1 , 4 , 46 
"ORMOC CITY, (LEYTE)", 44 , 71 , 13 , 69 , 56 , 56 , 68 , 84 , 59 , 70 , 59 , 649 
"PALO, (LEYTE)", 14 , 15 , - , 13 , 14 , 16 , 14 , 2 , 16 , 12 , 15 , 131 
"PALOMPON, (LEYTE)", 17 , 17 , 2 , 14 , 10 , 13 , 10 , 11 , 11 , 11 , 14 , 130 
"PASTRANA, (LEYTE)", - , 1 , - , - , 4 , - , - , 1 , 4 , 1 , 1 , 12 
"SAN ISIDRO, (LEYTE)", - , 9 , - , 5 , 2 , 7 , 5 , 3 , 4 , 10 , 4 , 49 
"SAN MIGUEL, (LEYTE)", - , 2 , - , 1 , 4 , 2 , 3 , 2 , 4 , 1 , 4 , 23 
"SANTA FE, (LEYTE)", 1 , 2 , - , 1 , 1 , - , 1 , 2 , 1 , - , 1 , 10 
"TABANGO, (LEYTE)", 5 , 2 , 1 , 4 , 2 , 4 , 10 , 4 , 3 , 4 , 8 , 47 
"TABONTABON, (LEYTE)", 1 , - , - , 1 , - , - , - , 1 , 1 , 1 , -   , 5 
"TACLOBAN CITY (CAPITAL), (LEYTE)", 78 , 95 , 14 , 99 , 74 , 60 , 82 , 85 , 86 , 59 , 64 , 796 
"TANAUAN, (LEYTE)", 6 , 11 , 1 , 8 , 16 , 6 , 13 , 12 , 17 , 9 , 10 , 109 
"TOLOSA, (LEYTE)", 1 , 7 , - , 4 , 2 , 2 , 5 , 3 , 5 , 3 , 3 , 35 
"TUNGA, (LEYTE)", - , - , - , - , - , 2 , 1 , 1 , 1 , - , - , 5 
"VILLABA, (LEYTE)", 7 , 3 , 1 , 4 , 8 , 5 , 6 , 9 , 8 , 7 , 9 , 67 
"ALLEN, (NORTHERN SAMAR)", 2 , 1 , - , 1 , - , 1 , 3 , 3 , 1 , - , 2 , 14 
"BIRI, (NORTHERN SAMAR)", 4 , 1 , 1 , 1 , 1 , 5 , 4 , 4 , 4 , - , 6 , 31 
"BOBON, (NORTHERN SAMAR)", 2 , 3 , 1 , 3 , 4 , 1 , 9 , 2 , 2 , 4 , 3 , 34 
"CAPUL, (NORTHERN SAMAR)", 1 , 1 , - , 1 , - , - , - , - , 3 , 1 , 2 , 9 
"CATARMAN (CAPITAL), (NORTHERN SAMAR)", 3 , 7 , - , 8 , 6 , 9 , 9 , 6 , 8 , 10 , 9 , 75 
"CATUBIG, (NORTHERN SAMAR)", - , - , - , - , - , - , 1 , 1 , - , - , - , 2 
"GAMAY, (NORTHERN SAMAR)", - , 1 , - , - , 2 , 1 , 1 , 1 , 1 , 1 , 2 , 10 
"LAOANG, (NORTHERN SAMAR)", - , 1 , - , - , - , - , 1 , - , 3 , - , 2 , 7 
"LAPINIG, (NORTHERN SAMAR)", - , - , - , - , - , - , - , 2 , 1 , - , - , 3 
"LAS NAVAS, (NORTHERN SAMAR)", - , - , - , - , - , - , - , - , - , - , 1 , 1 
"LAVEZARES, (NORTHERN SAMAR)", 2 , 1 , - , 3 , 2 , 4 , 1 , 1 , 5 , 1 , 3 , 23 
"LOPE DE VEGA, (NORTHERN SAMAR)", - , - , - , 1 , - , - , - , - , - , - , - , 1 
"MAPANAS, (NORTHERN SAMAR)", - , - , - , - , - , - , - , - , - , - , - , -   
"MONDRAGON, (NORTHERN SAMAR)", - , - , - , 1 , 1 , - , 1 , 3 , 2 , 2 , -   , 10 
"PALAPAG, (NORTHERN SAMAR)", 1 , - , - , - , 1 , 1 , 1 , 2 , 1 , 1 , -   , 8 
"PAMBUJAN, (NORTHERN SAMAR)", 1 , 1 , - , - , - , - , 1 , 3 , - , 1 , -   , 7 
"ROSARIO, (NORTHERN SAMAR)", - , - , - , 1 , 2 , 1 , - , 1 , - , 1 , -   , 6 
"SAN ANTONIO, (NORTHERN SAMAR)", - , - , - , 2 , - , - , - , 3 , 2 , - , 2 , 9 
"SAN ISIDRO, (NORTHERN SAMAR)", 1 , 3 , - , 1 , 5 , 4 , 5 , 7 , 4 , 3 , 3 , 36 
"SAN JOSE, (NORTHERN SAMAR)", 2 , 3 , - , - , 4 , 3 , 1 , 4 , - , - , 3 , 20 
"SAN ROQUE, (NORTHERN SAMAR)", 1 , 1 , - , - , 1 , - , 1 , 1 , 2 , 1 , 3 , 11 
"SAN VICENTE, (NORTHERN SAMAR)", - , 2 , - , 1 , 2 , - , 1 , 1 , - , - , - , 7 
"VICTORIA, (NORTHERN SAMAR)", - , 1 , - , - , - , 1 , - , 1 , 1 , 2 , 2 , 8 
"ALMAGRO, (SAMAR  (WESTERN SAMAR))", 1 , 1 , - , 1 , 2 , 1 , 1 , 3 , 1 , - , 1 , 12 
"BASEY, (SAMAR  (WESTERN SAMAR))", 2 , 1 , 2 , 4 , 1 , 4 , 2 , 7 , 4 , 2 , 6 , 35 
"CALBAYOG CITY, (SAMAR  (WESTERN SAMAR))", 22 , 27 , 3 , 31 , 32 , 28 , 37 , 38 , 40 , 37 , 35 , 330 
"CALBIGA, (SAMAR  (WESTERN SAMAR))", 1 , 1 , - , 1 , - , - , - , 1 , - , 1 , 2 , 7 
"CATBALOGAN (CAPITAL), (SAMAR  (WESTERN SAMAR))", 3 , 14 , 2 , 11 , 8 , 12 , 17 , 16 , 8 , 13 , 17 , 121 
"DARAM, (SAMAR  (WESTERN SAMAR))", 2 , 7 , 2 , 5 , 6 , 8 , 11 , 5 , 11 , 9 , 4 , 70 
"GANDARA, (SAMAR  (WESTERN SAMAR))", 1 , 1 , - , 1 , 1 , - , 5 , 3 , 2 , 1 , 2 , 17 
"HINABANGAN, (SAMAR  (WESTERN SAMAR))", 1 , - , - , - , - , 1 , - , - , 1 , 1 , -   , 4 
"JIABONG, (SAMAR  (WESTERN SAMAR))", - , - , - , - , - , 1 , 1 , 1 , - , 1 , 1 , 5 
"MARABUT, (SAMAR  (WESTERN SAMAR))", - , - , - , 1 , 1 , - , 1 , 1 , 2 , 2 , 3 , 11 
"MATUGUINAO, (SAMAR  (WESTERN SAMAR))", - , - , - , - , - , - , - , 1 , - , - , - , 1 
"MOTIONG, (SAMAR  (WESTERN SAMAR))", 1 , 1 , 1 , - , 1 , - , - , - , - , - , - , 4 
"PINABACDAO, (SAMAR  (WESTERN SAMAR))", - , - , - , 1 , 1 , 1 , - , 1 , 1 , 1 , 1 , 7 
"SAN JOSE DE BUAN, (SAMAR  (WESTERN SAMAR))", - , - , - , - , - , - , 1 , - , - , 1 , -   , 2 
"SAN SEBASTIAN, (SAMAR  (WESTERN SAMAR))", - , - , - , 1 , - , - , 1 , - , 1 , - , - , 3 
"SANTA MARGARITA, (SAMAR  (WESTERN SAMAR))", - , 3 , - , 3 , - , 3 , 6 , 2 , 2 , 1 , 3 , 23 
"SANTA RITA, (SAMAR  (WESTERN SAMAR))", 3 , 3 , 1 , 4 , 6 , 5 , 9 , 8 , 3 , 2 , 8 , 52 
"SANTO NIÑO, (SAMAR  (WESTERN SAMAR))", - , - , - , 3 , 1 , 3 , 4 , 2 , 2 , 4 , -   , 19 
"TALALORA, (SAMAR  (WESTERN SAMAR))", - , 2 , - , - , 2 , 3 , - , 2 , 2 , 2 , 2 , 15 
"TARANGNAN, (SAMAR  (WESTERN SAMAR))", 1 , - , - , - , 1 , - , - , - , 1 , 1 , -   , 4 
"VILLAREAL, (SAMAR  (WESTERN SAMAR))", 3 , - , 1 , 3 , 1 , 3 , 3 , 5 , 2 , 5 , 6 , 32 
"PARANAS (WRIGHT), (SAMAR  (WESTERN SAMAR))", 1 , - , 1 , 1 , - , 1 , - , - , 2 , 2 , -   , 8 
"ZUMARRAGA, (SAMAR  (WESTERN SAMAR))", - , - , - , - , - , - , 4 , 2 , 2 , 1 , -   , 9 
"TAGAPUL-AN, (SAMAR  (WESTERN SAMAR))", - , - , - , 1 , - , - , 1 , 1 , 1 , - , 1 , 5 
"SAN JORGE, (SAMAR  (WESTERN SAMAR))", - , - , 1 , 1 , - , 1 , - , - , - , - , 2 , 5 
"PAGSANGHAN, (SAMAR  (WESTERN SAMAR))", - , 1 , - , - , 1 , - , 1 , - , - , 1 , -   , 4 
"ANAHAWAN, (SOUTHERN LEYTE)", 1 , 3 , - , 1 , - , 1 , 1 , - , 1 , 2 , 2 , 12 
"BONTOC, (SOUTHERN LEYTE)", 1 , 3 , 2 , 5 , 3 , 6 , 6 , 6 , 3 , 6 , 7 , 48 
"HINUNANGAN, (SOUTHERN LEYTE)", 1 , 6 , 1 , 3 , 1 , 6 , 5 , 5 , 3 , 4 , 9 , 44 
"HINUNDAYAN, (SOUTHERN LEYTE)", 2 , 1 , 2 , 4 , 2 , - , 2 , 3 , - , 1 , 4 , 21 
"LIBAGON, (SOUTHERN LEYTE)", - , 4 , - , 1 , 1 , 2 , 2 , 1 , - , 3 , 1 , 15 
"LILOAN, (SOUTHERN LEYTE)", 4 , 5 , - , 4 , 5 , 3 , 1 , 4 , 6 , 5 , 4 , 41 
"MAASIN (CAPITAL), (SOUTHERN LEYTE)", 19 , 24 , 5 , 26 , 17 , 10 , 17 , 15 , 15 , 19 , 17 , 184 
