city_or_municipality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,total
"GUTALAC, (ZAMBOANGA DEL NORTE)", 2 , 1 , - , 2 , - , - , 1 , 2 , - , 7 , 1 , 16 
"GODOD, (ZAMBOANGA DEL NORTE)", - , - , - , - , 1 , - , - , 1 , - , - , - , 2 
"BALIGUIAN, (ZAMBOANGA DEL NORTE)", - , - , - , - , - , - , - , - , - , 1 , -   , 1 
"BACUNGAN (LEON T. POSTIGO), (ZAMBOANGA DEL NORTE)", 2 , 5 , 1 , - , 2 , 2 , 1 , 6 , 1 , 1 , 4 , 25 
"KALAWIT, (ZAMBOANGA DEL NORTE)", 1 , - , - , 1 , - , - , 1 , 1 , 1 , 1 , -   , 6 
"AURORA, (ZAMBOANGA DEL SUR)", 4 , 6 , 1 , 2 , 5 , 2 , 4 , 3 , 4 , 7 , 2 , 40 
"BAYOG, (ZAMBOANGA DEL SUR)", - , 1 , - , 2 , 1 , - , - , 1 , - , 1 , 1 , 7 
"DIMATALING, (ZAMBOANGA DEL SUR)", - , 1 , - , - , 1 , - , 1 , 3 , 1 , 1 , -   , 8 
"DINAS, (ZAMBOANGA DEL SUR)", - , - , - , 1 , - , 2 , - , - , 1 , - , - , 4 
"DUMALINAO, (ZAMBOANGA DEL SUR)", - , - , 1 , 1 , 1 , - , 2 , - , 2 , 3 , 3 , 13 
"DUMINGAG, (ZAMBOANGA DEL SUR)", 2 , 4 , - , 2 , 1 , 3 , 3 , - , 5 , 2 , 3 , 25 
"KUMALARANG, (ZAMBOANGA DEL SUR)", 1 , - , - , 2 , 1 , - , 2 , - , 1 , 1 , 2 , 10 
"LABANGAN, (ZAMBOANGA DEL SUR)", 1 , - , - , - , 1 , 2 , 1 , 2 , 1 , 1 , 1 , 10 
"LAPUYAN, (ZAMBOANGA DEL SUR)", - , - , - , - , - , - , 1 , - , - , - , 1 , 2 
"MAHAYAG, (ZAMBOANGA DEL SUR)", 5 , 2 , - , 1 , 2 , 3 , 3 , 5 , 4 , 3 , 2 , 30 
"MARGOSATUBIG, (ZAMBOANGA DEL SUR)", - , - , - , 3 , 2 , 1 , 1 , 1 , 3 , 1 , 1 , 13 
"MIDSALIP, (ZAMBOANGA DEL SUR)", 1 , - , - , 3 , 1 , - , 1 , 1 , 1 , - , 1 , 9 
"MOLAVE, (ZAMBOANGA DEL SUR)", 4 , 2 , 2 , 5 , 6 , 10 , 7 , 10 , 7 , 6 , 9 , 68 
"RAMON MAGSAYSAY (LIARGO), (ZAMBOANGA DEL SUR)", 1 , 3 , - , 1 , 1 , - , 6 , 2 , 4 , 1 , 4 , 23 
"SAN MIGUEL, (ZAMBOANGA DEL SUR)", 1 , 1 , - , - , - , 2 , 1 , 1 , 1 , 1 , 4 , 12 
"SAN PABLO, (ZAMBOANGA DEL SUR)", - , 2 , - , 2 , 1 , - , - , 1 , 1 , 1 , 1 , 9 
"TABINA, (ZAMBOANGA DEL SUR)", 1 , 2 , - , 1 , 3 , - , 1 , 1 , - , - , 1 , 10 
"TAMBULIG, (ZAMBOANGA DEL SUR)", 4 , 1 , - , 2 , 5 , 4 , 3 , 3 , 1 , 3 , 3 , 29 
"TUKURAN, (ZAMBOANGA DEL SUR)", - , 4 , - , 3 , 2 , 1 , 2 , 3 , 2 , 4 , 6 , 27 
"LAKEWOOD, (ZAMBOANGA DEL SUR)", - , - , - , - , 1 , 1 , 1 , 1 , - , 1 , 1 , 6 
"JOSEFINA, (ZAMBOANGA DEL SUR)", - , - , - , - , - , - , - , - , - , - , 2 , 2 
"PITOGO, (ZAMBOANGA DEL SUR)", - , - , - , 1 , - , - , 2 , 3 , 1 , 4 , -   , 11 
"SOMINOT (DON MARIANO MARCOS), (ZAMBOANGA DEL SUR)", - , 1 , - , - , - , - , 1 , - , 1 , - , - , 3 
"VINCENZO A. SAGUN, (ZAMBOANGA DEL SUR)", 2 , 2 , - , - , - , 1 , 2 , - , 3 , 1 , 1 , 12 
"GUIPOS, (ZAMBOANGA DEL SUR)", - , - , - , - , - , 1 , 2 , 1 , 2 , - , 1 , 7 
"TIGBAO, (ZAMBOANGA DEL SUR)", - , - , - , - , 1 , - , - , 2 , 1 , 1 , -   , 5 
"PAGADIAN CITY (CAPITAL), (ZAMBOANGA DEL SUR)", 21 , 23 , 8 , 24 , 27 , 32 , 35 , 20 , 34 , 35 , 38 , 297 
"ZAMBOANGA CITY, (ZAMBOANGA DEL SUR)", 78 , 66 , 16 , 75 , 83 , 79 , 95 , 100 , 93 , 94 , 78 , 857 
"ALICIA, (ZAMBOANGA DEL SUR)", - , - , - , 1 , - , - , - , 1 , 1 , - , 1 , 4 
"BUUG, (ZAMBOANGA DEL SUR)", - , 1 , 1 , 4 , 1 , 3 , 2 , - , 3 , 3 , 1 , 19 
"IPIL, (ZAMBOANGA DEL SUR)", 3 , 2 , - , 6 , 6 , 8 , 4 , 11 , 10 , 8 , 1 , 59 
"KABASALAN, (ZAMBOANGA DEL SUR)", - , 3 , - , 1 , 2 , 1 , - , 1 , 2 , 4 , 3 , 17 
"MALANGAS, (ZAMBOANGA DEL SUR)", 1 , - , - , 2 , 3 , - , - , 3 , 1 , - , 1 , 11 
"NAGA, (ZAMBOANGA DEL SUR)", 2 , 1 , - , 1 , - , 1 , 1 , 2 , - , 2 , 2 , 12 
"OLUTANGA, (ZAMBOANGA DEL SUR)", 1 , 1 , - , 2 , - , - , 1 , - , - , - , - , 5 
"SIAY, (ZAMBOANGA DEL SUR)", 1 , - , - , 1 , 1 , 1 , 3 , 4 , 1 , 3 , 3 , 18 
"TITAY, (ZAMBOANGA DEL SUR)", 2 , 1 , - , 2 , - , 1 , - , 2 , 1 , 2 , 1 , 12 
"TUNGAWAN, (ZAMBOANGA DEL SUR)", 1 , - , - , - , - , 1 , 2 , - , 2 , 1 , 2 , 9 
"TALUSAN, (ZAMBOANGA DEL SUR)", - , 1 , - , - , - , - , - , - , - , 2 , -   , 3 
"PAYAO, (ZAMBOANGA DEL SUR)", - , - , - , - , - , 1 , - , - , 1 , - , - , 2 
"IMELDA, (ZAMBOANGA DEL SUR)", - , - , - , - , - , - , - , 1 , 1 , 1 , 1 , 4 
"DIPLAHAN, (ZAMBOANGA DEL SUR)", 1 , 1 , - , 2 , 1 , 2 , 2 , 2 , - , 1 , 1 , 13 
"MABUHAY, (ZAMBOANGA DEL SUR)", - , - , - , 1 , 1 , - , - , 1 , - , 1 , -   , 4 
"ROSELLER LIM, (ZAMBOANGA DEL SUR)", 2 , - , - , 1 , 1 , - , - , 2 , 1 , 2 , 1 , 10 
"ISABELA (CAPITAL), (BASILAN)", - , - , - , 2 , 1 , 2 , 1 , - , 4 , 1 , 2 , 13 
"BAUNGON, (BUKIDNON)", - , 4 , 1 , 1 , 3 , 2 , - , 1 , - , 3 , -   , 15 
"DAMULOG, (BUKIDNON)", - , - , - , 1 , 1 , 3 , - , - , 1 , 2 , -   , 8 
"DANGCAGAN, (BUKIDNON)", - , 3 , - , - , - , - , 1 , 1 , 2 , 1 , 3 , 11 
"DON CARLOS, (BUKIDNON)", 5 , 5 , - , 7 , 1 , 6 , 5 , 6 , 8 , 3 , 4 , 50 
"IMPASUG-ONG, (BUKIDNON)", - , - , - , 1 , 1 , - , - , 1 , 3 , - , 4 , 10 
"KADINGILAN, (BUKIDNON)", 1 , 1 , - , 1 , 1 , 1 , 1 , - , - , - , 4 , 10 
"KALILANGAN, (BUKIDNON)", 2 , 3 , - , 1 , 2 , 1 , - , - , 2 , 3 , 3 , 17 
"KIBAWE, (BUKIDNON)", 2 , 2 , 1 , 1 , 2 , 1 , - , 2 , 1 , 1 , 3 , 16 
"KITAOTAO, (BUKIDNON)", 4 , - , - , 1 , 2 , - , 1 , 1 , 2 , 1 , 3 , 15 
"LANTAPAN, (BUKIDNON)", 1 , 1 , 1 , - , 1 , 2 , 1 , - , 4 , 4 , 1 , 16 
"LIBONA, (BUKIDNON)", 2 , 2 , - , - , 1 , 1 , 3 , 3 , 3 , 4 , 2 , 21 
"CITY MALAYBALAY (CAPITAL), (BUKIDNON)", 14 , 15 , 4 , 15 , 18 , 11 , 21 , 19 , 22 , 24 , 23 , 186 
"MALITBOG, (BUKIDNON)", 1 , 2 , 2 , - , - , - , 2 , 1 , 1 , 2 , 1 , 12 
"MANOLO FORTICH, (BUKIDNON)", 9 , 18 , 3 , 19 , 11 , 11 , 9 , 11 , 14 , 18 , 13 , 136 
"MARAMAG, (BUKIDNON)", 9 , 12 , 4 , 9 , 10 , 11 , 11 , 11 , 3 , 9 , 8 , 97 
"PANGANTUCAN, (BUKIDNON)", 1 , - , - , 3 , 2 , 1 , 2 , 3 , 1 , 4 , 2 , 19 
"QUEZON, (BUKIDNON)", 2 , 6 , - , 6 , 3 , 7 , 4 , 4 , 11 , 9 , 7 , 59 
"SAN FERNANDO, (BUKIDNON)", 1 , 2 , - , 1 , 4 , - , 1 , 2 , 1 , - , 1 , 13 
"SUMILAO, (BUKIDNON)", - , - , - , - , - , 1 , - , - , - , - , 1 , 2 
"TALAKAG, (BUKIDNON)", - , 3 , - , 1 , 1 , 1 , - , 2 , - , 3 , 1 , 12 
"VALENCIA, (BUKIDNON)", 23 , 40 , 6 , 33 , 25 , 24 , 19 , 35 , 24 , 29 , 35 , 293 
"CABANGLASAN, (BUKIDNON)", 2 , - , 1 , - , 1 , 1 , 1 , 1 , 1 , 2 , 3 , 13 
"CATARMAN, (CAMIGUIN)", 1 , 3 , 1 , 3 , 2 , 2 , 2 , 1 , 1 , 6 , 1 , 23 
"GUINSILIBAN, (CAMIGUIN)", - , - , - , 1 , 2 , 2 , - , 1 , 2 , 1 , -   , 9 
"MAHINOG, (CAMIGUIN)", - , 1 , - , 1 , 1 , 1 , 1 , 2 , 6 , 4 , 7 , 24 
"MAMBAJAO (CAPITAL), (CAMIGUIN)", 12 , 6 , 3 , 6 , 6 , 12 , 16 , 12 , 8 , 17 , 7 , 105 
"SAGAY, (CAMIGUIN)", 1 , 2 , - , - , 3 , 2 , - , 2 , 3 , 2 , 2 , 17 
"ALORAN, (MISAMIS OCCIDENTAL)", 3 , 3 , 1 , 5 , 4 , 1 , 4 , 9 , 2 , 2 , 4 , 38 
"BALIANGAO, (MISAMIS OCCIDENTAL)", 1 , 2 , - , 2 , - , - , - , - , 1 , - , 1 , 7 
"BONIFACIO, (MISAMIS OCCIDENTAL)", 1 , 1 , - , 1 , 2 , 2 , 7 , 1 , 2 , 2 , 6 , 25 
"CALAMBA, (MISAMIS OCCIDENTAL)", 3 , 5 , 1 , 5 , 2 , 2 , 1 , 3 , 3 , - , 1 , 26 
"CLARIN, (MISAMIS OCCIDENTAL)", 7 , 6 , - , 4 , 10 , 9 , 10 , 4 , 8 , 10 , 6 , 74 
"JIMENEZ, (MISAMIS OCCIDENTAL)", 4 , 4 , 1 , 1 , 5 , 3 , 5 , 5 , 5 , 9 , 4 , 46 
"LOPEZ JAENA, (MISAMIS OCCIDENTAL)", 3 , 2 , 1 , 2 , 5 , 9 , 3 , 3 , 2 , 3 , 4 , 37 
"OROQUIETA CITY (CAPITAL), (MISAMIS OCCIDENTAL)", 18 , 21 , 4 , 16 , 15 , 14 , 15 , 9 , 15 , 13 , 10 , 150 
"OZAMIS CITY, (MISAMIS OCCIDENTAL)", 53 , 76 , 12 , 49 , 64 , 71 , 46 , 54 , 61 , 54 , 42 , 582 
"PANAON, (MISAMIS OCCIDENTAL)", 2 , 3 , - , 2 , 1 , 1 , 1 , - , 3 , 2 , -   , 15 
"PLARIDEL, (MISAMIS OCCIDENTAL)", 7 , 1 , 3 , 6 , 3 , 2 , - , 4 , 5 , 2 , 2 , 35 
"SAPANG DALAGA, (MISAMIS OCCIDENTAL)", 2 , 2 , - , 1 , 1 , 1 , 2 , 3 , 2 , 1 , 2 , 17 
"SINACABAN, (MISAMIS OCCIDENTAL)", 1 , 2 , - , - , 2 , - , 4 , 2 , 2 , 4 , 2 , 19 
"TANGUB CITY, (MISAMIS OCCIDENTAL)", 3 , 7 , 3 , 10 , 12 , 8 , 11 , 13 , 7 , 9 , 10 , 93 
"TUDELA, (MISAMIS OCCIDENTAL)", 1 , 4 , - , 3 , 3 , 2 , 2 , 3 , 1 , 1 , 4 , 24 
"DON VICTORIANO CHIONGBIAN (DON MARIANO MARCOS), (MISAMIS OCCIDENTAL)", - , - , - , - , - , - , - , - , - , - , 1 , 1 
"ALUBIJID, (MISAMIS ORIENTAL)", 2 , - , 1 , 1 , 2 , 2 , 5 , 1 , 1 , 4 , 2 , 21 
"BALINGASAG, (MISAMIS ORIENTAL)", 5 , 8 , - , 7 , 13 , 11 , 12 , 8 , 7 , 14 , 13 , 98 
"BALINGOAN, (MISAMIS ORIENTAL)", - , - , - , 1 , 1 , - , 2 , - , - , 2 , 1 , 7 
"BINUANGAN, (MISAMIS ORIENTAL)", 1 , - , 1 , - , 1 , - , 1 , 1 , - , 1 , -   , 6 
"CAGAYAN DE ORO CITY (CAPITAL), (MISAMIS ORIENTAL)", 234 , 307 , 49 , 242 , 280 , 233 , 253 , 267 , 254 , 262 , 226 ," 2,607 "
"CLAVERIA, (MISAMIS ORIENTAL)", 2 , 1 , 1 , 2 , 5 , 3 , 1 , 3 , 3 , 3 , 3 , 27 
"EL SALVADOR, (MISAMIS ORIENTAL)", 2 , 7 , - , 3 , 4 , 7 , 4 , 5 , 7 , 6 , 5 , 50 
"GINGOOG CITY, (MISAMIS ORIENTAL)", 47 , 57 , 13 , 40 , 53 , 25 , 19 , 24 , 28 , 24 , 18 , 348 
"GITAGUM, (MISAMIS ORIENTAL)", 1 , 2 , - , 1 , - , - , 1 , 1 , 1 , 3 , -   , 10 
"INITAO, (MISAMIS ORIENTAL)", 10 , 13 , 1 , 3 , 6 , 1 , 5 , 4 , 3 , 5 , 6 , 57 
"JASAAN, (MISAMIS ORIENTAL)", 13 , 15 , 2 , 4 , 2 , 12 , 8 , 7 , 5 , 10 , 4 , 82 
"KINOGUITAN, (MISAMIS ORIENTAL)", 1 , - , - , 3 , 1 , 1 , - , 1 , 3 , 3 , 2 , 15 
"LAGONGLONG, (MISAMIS ORIENTAL)", 3 , 6 , - , 1 , 1 , 1 , 4 , 3 , 1 , 1 , -   , 21 
"LAGUINDINGAN, (MISAMIS ORIENTAL)", - , 1 , - , 3 , 1 , 3 , 4 , 3 , 2 , 5 , 3 , 25 
"LIBERTAD, (MISAMIS ORIENTAL)", - , - , - , 1 , 2 , 1 , 2 , 2 , 2 , 2 , 3 , 15 
"LUGAIT, (MISAMIS ORIENTAL)", 8 , 3 , 3 , 2 , 5 , 2 , 3 , 2 , 3 , 6 , 3 , 40 
"MAGSAYSAY (LINUGOS), (MISAMIS ORIENTAL)", 3 , 5 , 1 , 11 , 6 , 3 , 8 , 2 , 5 , 3 , 4 , 51 
"MANTICAO, (MISAMIS ORIENTAL)", 3 , 2 , - , 3 , 2 , 4 , 5 , 3 , 6 , 3 , 8 , 39 
"MEDINA, (MISAMIS ORIENTAL)", 4 , 1 , 1 , 5 , 4 , 2 , 6 , 4 , 1 , 5 , 2 , 35 
"NAAWAN, (MISAMIS ORIENTAL)", 7 , 5 , - , 7 , 2 , 4 , 5 , 7 , 7 , 5 , 5 , 54 
"OPOL, (MISAMIS ORIENTAL)", 16 , 12 , 3 , 13 , 13 , 16 , 14 , 8 , 13 , 19 , 10 , 137 
"SALAY, (MISAMIS ORIENTAL)", 2 , 2 , - , 3 , 3 , - , 2 , 1 , 3 , 3 , 2 , 21 
"SUGBONGCOGON, (MISAMIS ORIENTAL)", - , - , - , - , 1 , 1 , - , 2 , 1 , 1 , 1 , 7 
"TAGOLOAN, (MISAMIS ORIENTAL)", 9 , 12 , - , 10 , 11 , 8 , 12 , 10 , 12 , 10 , 7 , 101 
"TALISAYAN, (MISAMIS ORIENTAL)", 5 , 5 , - , 1 , 1 , 3 , 1 , 3 , 1 , 6 , 1 , 27 
"VILLANUEVA, (MISAMIS ORIENTAL)", 4 , 3 , - , 6 , 10 , 10 , 4 , 7 , 3 , 3 , 10 , 60 
"BACOLOD, (LANAO DEL NORTE)", 3 , - , - , 2 , 3 , - , 1 , - , 1 , 1 , 1 , 12 
"BALOI, (LANAO DEL NORTE)", - , - , - , - , - , - , - , - , - , - , - , -   
"BAROY, (LANAO DEL NORTE)", 1 , 2 , - , 7 , 1 , 2 , 2 , 4 , 1 , 5 , -   , 25 
"ILIGAN CITY, (LANAO DEL NORTE)", 109 , 121 , 14 , 102 , 108 , 95 , 96 , 93 , 102 , 94 , 91 ," 1,025 "
"KAPATAGAN, (LANAO DEL NORTE)", 5 , 4 , - , 1 , 6 , 5 , 5 , 1 , 6 , 6 , 3 , 42 
"SULTAN NAGA DIMAPORO (KAROMATAN), (LANAO DEL NORTE)", - , - , - , - , - , 2 , - , 1 , 1 , 4 , -   , 8 
"KAUSWAGAN, (LANAO DEL NORTE)", 4 , 2 , - , 1 , 4 , 2 , 1 , 3 , 4 , 5 , 1 , 27 
"KOLAMBUGAN, (LANAO DEL NORTE)", 3 , 5 , - , 7 , 9 , 9 , 8 , 3 , 3 , 6 , 4 , 57 
"LALA, (LANAO DEL NORTE)", 5 , 8 , - , 5 , 7 , 4 , 10 , 7 , 9 , 11 , 4 , 70 
"LINAMON, (LANAO DEL NORTE)", 4 , 3 , - , 4 , 2 , 4 , 3 , 3 , 2 , 1 , 4 , 30 
"MAGSAYSAY, (LANAO DEL NORTE)", - , - , - , - , - , 1 , - , - , - , - , 1 , 2 
"MAIGO, (LANAO DEL NORTE)", 2 , 4 , - , 4 , 3 , - , 2 , 2 , 1 , 4 , -   , 22 
"SALVADOR, (LANAO DEL NORTE)", 1 , 1 , - , - , 1 , 2 , - , 1 , - , - , - , 6 
"SAPAD, (LANAO DEL NORTE)", - , 1 , - , - , 1 , - , 1 , - , - , - , - , 3 
"TUBOD (CAPITAL), (LANAO DEL NORTE)", 7 , 8 , 1 , 8 , 5 , 4 , 3 , 5 , 7 , 6 , 11 , 65 
"ASUNCION (SAUG), (DAVAO DEL NORTE)", 2 , 5 , - , 5 , 4 , 3 , 4 , 9 , 2 , 7 , 9 , 50 
"CARMEN, (DAVAO DEL NORTE)", 4 , 12 , 1 , 6 , 3 , 14 , 8 , 11 , 7 , 8 , 4 , 78 
"KAPALONG, (DAVAO DEL NORTE)", 6 , 5 , 3 , 5 , 5 , 4 , 6 , 3 , 6 , 5 , 10 , 58 
"NEW CORELLA, (DAVAO DEL NORTE)", 2 , 2 , 1 , 5 , 3 , 6 , 5 , 1 , 5 , 2 , 8 , 40 
"PANABO, (DAVAO DEL NORTE)", 34 , 38 , 1 , 37 , 40 , 54 , 53 , 43 , 35 , 48 , 41 , 424 
"ISLAND GARDEN CITY OF SAMAL, (DAVAO DEL NORTE)", 13 , 9 , 7 , 8 , 13 , 11 , 18 , 9 , 15 , 21 , 19 , 143 
"SANTO TOMAS, (DAVAO DEL NORTE)", 14 , 18 , 2 , 14 , 14 , 15 , 12 , 17 , 17 , 21 , 19 , 163 
"CITY OF TAGUM (CAPITAL), (DAVAO DEL NORTE)", 54 , 88 , 9 , 74 , 63 , 89 , 77 , 66 , 76 , 74 , 78 , 748 
"TALAINGOD, (DAVAO DEL NORTE)", 1 , 1 , - , - , - , - , - , - , 1 , - , - , 3 
"BRAULIO E. DUJALI, (DAVAO DEL NORTE)", 1 , 3 , - , - , 2 , 1 , - , 1 , - , 2 , 1 , 11 
"BANSALAN, (DAVAO DEL SUR)", 10 , 6 , - , 8 , 13 , 8 , 9 , 7 , 9 , 9 , 11 , 90 
"DAVAO CITY, (DAVAO DEL SUR)", 582 , 631 , 118 , 591 , 600 , 709 , 694 , 670 , 620 , 638 , 597 ," 6,450 "
"DIGOS (CAPITAL), (DAVAO DEL SUR)", 38 , 34 , 6 , 34 , 42 , 42 , 36 , 49 , 45 , 40 , 46 , 412 
"DON MARCELINO, (DAVAO DEL SUR)", - , - , - , 3 , 1 , - , - , - , - , - , 1 , 5 
"HAGONOY, (DAVAO DEL SUR)", 7 , 6 , 3 , 10 , 5 , 9 , 5 , 7 , 5 , 9 , 4 , 70 
"JOSE ABAD SANTOS (TRINIDAD), (DAVAO DEL SUR)", 2 , 1 , 1 , 1 , - , - , - , - , - , 1 , -   , 6 
"KIBLAWAN, (DAVAO DEL SUR)", 3 , 1 , 1 , 1 , 1 , - , 2 , 1 , 2 , 2 , 3 , 17 
"MAGSAYSAY, (DAVAO DEL SUR)", - , 3 , - , 3 , 2 , 4 , 3 , 4 , 5 , 5 , 4 , 33 
"MALALAG, (DAVAO DEL SUR)", 3 , 2 , 2 , 2 , 3 , 3 , 3 , 6 , 2 , 3 , 2 , 31 
"MALITA, (DAVAO DEL SUR)", 1 , 4 , 1 , 1 , 5 , 6 , 2 , 2 , 5 , 8 , 4 , 39 
"MATANAO, (DAVAO DEL SUR)", 6 , 6 , 1 , 4 , 4 , 7 , 6 , 6 , 3 , 4 , 4 , 51 
"PADADA, (DAVAO DEL SUR)", 7 , 6 , 2 , 4 , 5 , 8 , 4 , 5 , 5 , 7 , 6 , 59 
"SANTA CRUZ, (DAVAO DEL SUR)", 21 , 34 , 3 , 14 , 9 , 16 , 20 , 13 , 20 , 11 , 19 , 180 
"SANTA MARIA, (DAVAO DEL SUR)", 3 , 2 , - , - , 2 , 3 , 1 , 2 , 2 , 3 , 2 , 20 
"SULOP, (DAVAO DEL SUR)", 1 , 4 , - , 3 , - , 2 , 2 , 3 , 4 , 3 , 4 , 26 
"SARANGANI, (DAVAO DEL SUR)", - , - , - , - , - , - , - , 1 , - , - , - , 1 
"BAGANGA, (DAVAO ORIENTAL)", - , 2 , - , 3 , 2 , 1 , - , 1 , 3 , 1 , 1 , 14 
"BANAYBANAY, (DAVAO ORIENTAL)", 2 , 4 , 2 , 2 , 4 , 2 , 2 , 4 , - , 5 , 5 , 32 
"BOSTON, (DAVAO ORIENTAL)", - , - , - , - , - , - , - , - , - , - , - , -   
"CARAGA, (DAVAO ORIENTAL)", 1 , 1 , - , 2 , - , - , 1 , 1 , 2 , - , 1 , 9 
"CATEEL, (DAVAO ORIENTAL)", 2 , 3 , - , - , - , 4 , 2 , 1 , 1 , 1 , 3 , 17 
"GOVERNOR GENEROSO, (DAVAO ORIENTAL)", - , 4 , 1 , 1 , 1 , 2 , 1 , 2 , 3 , 4 , -   , 19 
"LUPON, (DAVAO ORIENTAL)", 8 , 5 , - , 8 , 8 , 10 , 5 , 10 , 11 , 11 , 6 , 82 
"MANAY, (DAVAO ORIENTAL)", - , - , - , 2 , 2 , 1 , 1 , 5 , 2 , 2 , -   , 15 
"MATI (CAPITAL), (DAVAO ORIENTAL)", 10 , 9 , 2 , 8 , 20 , 16 , 13 , 14 , 14 , 12 , 19 , 137 
"SAN ISIDRO, (DAVAO ORIENTAL)", - , 3 , - , 2 , 6 , 2 , 1 , 3 , 3 , 2 , 2 , 24 
"TARRAGONA, (DAVAO ORIENTAL)", - , - , - , - , - , - , - , 1 , - , - , 1 , 2 
"COMPOSTELA, (COMPOSTELA VALLEY)", 7 , 6 , 1 , 7 , 7 , 6 , 8 , 5 , 6 , 6 , 6 , 65 
"LAAK (SAN VICENTE), (COMPOSTELA VALLEY)", 2 , 1 , 1 , 1 , 2 , 3 , - , - , 2 , - , 1 , 13 
"MABINI (DOÑA ALICIA), (COMPOSTELA VALLEY)", 3 , 2 , - , 1 , 4 , 1 , 4 , 1 , 3 , 5 , 3 , 27 
"MACO, (COMPOSTELA VALLEY)", 7 , 4 , - , 1 , 6 , 7 , 3 , 8 , 4 , 7 , 9 , 56 
"MARAGUSAN (SAN MARIANO), (COMPOSTELA VALLEY)", 2 , 2 , 1 , 1 , 3 , 2 , 2 , 2 , 4 , 2 , 3 , 24 
"MAWAB, (COMPOSTELA VALLEY)", 5 , 4 , 2 , 4 , 4 , 1 , 1 , 1 , 7 , 1 , 4 , 34 
"MONKAYO, (COMPOSTELA VALLEY)", 4 , 7 , - , 4 , 3 , 4 , 4 , 7 , 6 , 12 , 2 , 53 
"MONTEVISTA, (COMPOSTELA VALLEY)", - , - , 1 , 1 , - , 2 , 4 , 2 , 6 , 2 , -   , 18 
"NABUNTURAN, (COMPOSTELA VALLEY)", 9 , 8 , - , 5 , 7 , 9 , 7 , 8 , 7 , 5 , 6 , 71 
"NEW BATAAN, (COMPOSTELA VALLEY)", 3 , 1 , - , 2 , 1 , 2 , 4 , 5 , 3 , 2 , 3 , 26 
"PANTUKAN, (COMPOSTELA VALLEY)", 4 , 1 , - , 2 , 1 , 4 , 5 , 5 , 3 , 9 , 7 , 41 
"BANGA, (SOUTH COTABATO)", 4 , 5 , - , - , 6 , 4 , 3 , 3 , 8 , 3 , 8 , 44 
"GENERAL SANTOS CITY (DADIANGAS), (SOUTH COTABATO)", 91 , 75 , 12 , 85 , 102 , 102 , 100 , 113 , 125 , 156 , 114 ," 1,075 "
"KORONADAL (CAPITAL), (SOUTH COTABATO)", 10 , 25 , 3 , 14 , 27 , 22 , 19 , 28 , 33 , 30 , 26 , 237 
"NORALA, (SOUTH COTABATO)", 3 , 4 , - , 1 , 2 , 2 , 2 , 2 , 7 , 3 , 4 , 30 
"POLOMOLOK, (SOUTH COTABATO)", 12 , 13 , - , 13 , 23 , 23 , 17 , 16 , 30 , 23 , 21 , 191 
"SURALLAH, (SOUTH COTABATO)", 5 , 3 , 1 , 5 , 6 , 6 , 6 , 6 , 6 , 7 , 7 , 58 
"TAMPAKAN, (SOUTH COTABATO)", 2 , 1 , - , - , - , 1 , 3 , 2 , 4 , 5 , 6 , 24 
"TANTANGAN, (SOUTH COTABATO)", 1 , 1 , - , - , 2 , 4 , 2 , 2 , 3 , 3 , 6 , 24 
"T`BOLI, (SOUTH COTABATO)", 2 , 1 , - , 1 , - , 1 , 3 , 1 , 5 , 3 , 5 , 22 
"TUPI, (SOUTH COTABATO)", 1 , 4 , - , - , 1 , 4 , 5 , 2 , 5 , 5 , 3 , 30 
"SANTO NIÑO, (SOUTH COTABATO)", 4 , 1 , 3 , 2 , 4 , 2 , 5 , 3 , 3 , 7 , 4 , 38 
"LAKE SEBU, (SOUTH COTABATO)", 1 , 1 , - , - , 3 , - , 3 , 2 , 2 , 1 , 2 , 15 
"ALABEL (CAPITAL), (SARANGANI)", 2 , 2 , 1 , 3 , 3 , 1 , 5 , 4 , 3 , 5 , 3 , 32 
"GLAN, (SARANGANI)", 2 , 1 , - , 1 , 4 , 4 , 3 , 3 , 5 , 2 , 2 , 27 
"KIAMBA, (SARANGANI)", 5 , - , - , 1 , 3 , 2 , 4 , 2 , 1 , 3 , 2 , 23 
"MAASIM, (SARANGANI)", 1 , 2 , - , - , 3 , 1 , 2 , 1 , 3 , 1 , 2 , 16 
"MAITUM, (SARANGANI)", 1 , 1 , - , 1 , - , 2 , 1 , 1 , 4 , - , 1 , 12 
"MALAPATAN, (SARANGANI)", 1 , 1 , - , - , 2 , - , - , 1 , 2 , 2 , 3 , 12 
"MALUNGON, (SARANGANI)", - , 3 , - , 2 , 1 , 4 , 1 , 4 , 3 , 4 , 3 , 25 
"ALAMADA, (NORTH COTABATO)", - , - , - , - , - , - , 2 , 1 , - , - , - , 3 
"CARMEN, (NORTH COTABATO)", 1 , 2 , - , - , - , 1 , 3 , 1 , - , 2 , 1 , 11 
"KABACAN, (NORTH COTABATO)", 1 , - , - , 2 , 2 , 5 , 5 , 9 , 3 , 3 , 3 , 33 
"CITY OF KIDAPAWAN (CAPITAL), (NORTH COTABATO)", 6 , 17 , 1 , 12 , 16 , 13 , 16 , 20 , 14 , 21 , 24 , 160 
"LIBUNGAN, (NORTH COTABATO)", - , 3 , - , 3 , 1 , 1 , 1 , 3 , 5 , 2 , 2 , 21 
